date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:23	12667/12667	---M--	200	added ('OK')	image/png	etag:%2238366241e108f99d800751b2dc21e8cd%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca24952f3232138e9b8fca_zapier-logo-dark.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca24952f3232138e9b8fca_zapier-logo-dark.png	(from https://delux-conference.webflow.io/)
16:03:23	22527/22527	---M--	200	added ('OK')	image/png	etag:%225e11766da83468f9d4cc1c6bbbc3efea%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca24952f32324c899b8fcb_slack%20dark.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca24952f32324c899b8fcb_slack%20dark.png	(from https://delux-conference.webflow.io/)
16:03:23	58298/58298	---M--	200	added ('OK')	image/png	etag:%22c1f8460c779548439d041b106ccd3f69%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca2497b7545fa740f86401_stripe%20dark.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca2497b7545fa740f86401_stripe%20dark.png	(from https://delux-conference.webflow.io/)
16:03:23	52489/52489	---M--	200	added ('OK')	image/png	etag:%2290cc2a26178902ae3b9d4774f08efd39%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca24962f323273ee9b8fcd_facebook_logos_dark.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca24962f323273ee9b8fcd_facebook_logos_dark.png	(from https://delux-conference.webflow.io/)
16:03:24	39442/39442	---M--	200	added ('OK')	image/png	etag:%22493b5052ac815f4d5720a81791e614c4%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca24962f3232b9309b8fcc_mailchimp%20dark.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca24962f3232b9309b8fcc_mailchimp%20dark.png	(from https://delux-conference.webflow.io/)
16:03:24	6701/6701	---M--	200	added ('OK')	image/png	etag:%22a9b23795ef1969aa4881cc6db27f5392%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca4fe252043cf59472625c_speaker%20image.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca4fe252043cf59472625c_speaker%20image.png	(from https://delux-conference.webflow.io/)
16:03:24	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2007%20May%202021%2020:03:26%20GMT	https://delux-conference.webflow.io/image-licensing	C:/My%20Web%20Sites/English%20Project/delux-conference.webflow.io/image-licensing	(from https://delux-conference.webflow.io/)
16:03:24	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2007%20May%202021%2020:03:27%20GMT	https://delux-conference.webflow.io/style-guide	C:/My%20Web%20Sites/English%20Project/delux-conference.webflow.io/style-guide	(from https://delux-conference.webflow.io/)
16:03:25	22818/22818	---M--	200	added ('OK')	image/png	etag:%22a6d1a0d2b78ed01879e73bbea759a5e5%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dc9df13ff27a54043e3f6bd_faceb.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dc9df13ff27a54043e3f6bd_faceb.png	(from https://delux-conference.webflow.io/)
16:03:25	22690/22690	---M--	200	added ('OK')	image/png	etag:%223f0ff6408453879f10cf9d37bd03d287%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca0b9f0b137a867a7b65b9_5dc9df13ff27a54043e3f6bd_faceb.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca0b9f0b137a867a7b65b9_5dc9df13ff27a54043e3f6bd_faceb.png	(from https://delux-conference.webflow.io/)
16:03:25	164295/164295	---M--	200	added ('OK')	image/png	etag:%22e153fccb5c85e45d43f0606573126917%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dc9df13ff27a56275e3f6b3_2000px-Instagram_simple_icon.svg.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dc9df13ff27a56275e3f6b3_2000px-Instagram_simple_icon.svg.png	(from https://delux-conference.webflow.io/)
16:03:25	164535/164535	---M--	200	added ('OK')	image/png	etag:%2250f7d244bdec0ed11b96fd99452cb60d%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca0ba00b137affbd7b65cc_5dc9df13ff27a56275e3f6b3_2000px-Instagram_simple_icon.svg.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca0ba00b137affbd7b65cc_5dc9df13ff27a56275e3f6b3_2000px-Instagram_simple_icon.svg.png	(from https://delux-conference.webflow.io/)
16:03:26	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=5dc9df0bcd9d01fc66ba72a6	C:/My%20Web%20Sites/English%20Project/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8ef9a.js	(from https://delux-conference.webflow.io/)
16:03:26	246196/246196	---M-Z	200	added ('OK')	text/javascript	etag:%22fabc0dc24784378b77ed04ecaeb512e0%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/js/webflow.9daea189a.js	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/js/webflow.9daea189a.js	(from https://delux-conference.webflow.io/)
16:03:26	50175/50175	---M--	200	added ('OK')	image/jpeg	etag:%22f727f3aecc3851d1f3fe43561abbc48d%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca20932f3232b2909b73a4_zoe-fernandez--zqoE7jnQgw-unsplash.jpg	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca20932f3232b2909b73a4_zoe-fernandez--zqoE7jnQgw-unsplash.jpg	(from https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/css/delux-conference.webflow.6e22ba3a6.css)
16:03:26	32353/32353	---M--	200	added ('OK')	image/jpeg	etag:%2233beca6417fee03d954a1d79cb4656f2%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca20930b137a8ffe7c7071_janko-ferlic-specialdaddy-qzDF5PNEWKc-unsplash.jpg	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca20930b137a8ffe7c7071_janko-ferlic-specialdaddy-qzDF5PNEWKc-unsplash.jpg	(from https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/css/delux-conference.webflow.6e22ba3a6.css)
16:03:27	47261/47261	---M--	200	added ('OK')	image/jpeg	etag:%227521d0e939955debbcc0f4d6b1528676%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca2093b730b5295b4d2574_benjamin-parker-NohB3FJSY90-unsplash.jpg	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca2093b730b5295b4d2574_benjamin-parker-NohB3FJSY90-unsplash.jpg	(from https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/css/delux-conference.webflow.6e22ba3a6.css)
16:03:27	36856/36856	---M--	200	added ('OK')	image/jpeg	etag:%2230465250b82c54b078cd4b15b1454c68%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca20930b137a2dd07c7072_benjamin-parker-OhKElOkQ3RE-unsplash.jpg	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca20930b137a2dd07c7072_benjamin-parker-OhKElOkQ3RE-unsplash.jpg	(from https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/css/delux-conference.webflow.6e22ba3a6.css)
16:03:27	74133/74133	---M--	200	added ('OK')	image/jpeg	etag:%227cae00aaa54ab00545f30d14b6087741%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca2093b730b59e764d2575_ryan-kwok-89HpG8WXS0M-unsplash.jpg	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca2093b730b59e764d2575_ryan-kwok-89HpG8WXS0M-unsplash.jpg	(from https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/css/delux-conference.webflow.6e22ba3a6.css)
16:03:27	24341/24341	---M--	200	added ('OK')	image/jpeg	etag:%2290990cac607e1befbbb88b75f1439da4%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca20923020d0cd2d111c9f_jackson-schaal-AR9mvykzSOA-unsplash.jpg	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca20923020d0cd2d111c9f_jackson-schaal-AR9mvykzSOA-unsplash.jpg	(from https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/css/delux-conference.webflow.6e22ba3a6.css)
16:03:28	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2007%20May%202021%2020:03:30%20GMT	https://delux-conference.webflow.io/%22https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dd0d0bec5a7ed1e0558b5cf_video%20(1	C:/My%20Web%20Sites/English%20Project/delux-conference.webflow.io/_https_/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dd0d0bec5a7ed1e0558b5cf_video%20(1.html	(from https://delux-conference.webflow.io/)
16:03:28	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2007%20May%202021%2020:03:30%20GMT	https://delux-conference.webflow.io/style-guide	C:/My%20Web%20Sites/English%20Project/delux-conference.webflow.io/style-guide.html	(from https://delux-conference.webflow.io/)
16:03:28	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2007%20May%202021%2020:03:30%20GMT	https://delux-conference.webflow.io/image-licensing	C:/My%20Web%20Sites/English%20Project/delux-conference.webflow.io/image-licensing.html	(from https://delux-conference.webflow.io/)
16:03:28	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2007%20May%202021%2020:03:30%20GMT	https://delux-conference.webflow.io/%22https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dd0d0bec5a7ed1e0558b5cf_video%20(1	C:/My%20Web%20Sites/English%20Project/delux-conference.webflow.io/_https_/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dd0d0bec5a7ed1e0558b5cf_video%20(1.html	(from https://delux-conference.webflow.io/)
16:03:28	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2007%20May%202021%2020:03:31%20GMT	https://delux-conference.webflow.io/image-licensing	C:/My%20Web%20Sites/English%20Project/delux-conference.webflow.io/image-licensing.html	(from https://delux-conference.webflow.io/)
16:03:28	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2007%20May%202021%2020:03:31%20GMT	https://delux-conference.webflow.io/style-guide	C:/My%20Web%20Sites/English%20Project/delux-conference.webflow.io/style-guide.html	(from https://delux-conference.webflow.io/)
